Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
lightgbm,0.9919831223628692,0.9914823228030408,0.9919831223628692,0.9915640167520517,0.9990429018046663
xgboost,0.9916666666666667,0.9912085103255684,0.9916666666666667,0.9912785055211853,0.9989779257003542
random_forest,0.9911392405063291,0.9903763051770795,0.9911392405063291,0.9904806525728549,0.9975736832221812
pytorch_mlp,0.9904008438818566,0.9899008436336129,0.9904008438818566,0.9899817888747141,0.9977860840666172
gradient_boosting,0.990084388185654,0.989251763267422,0.990084388185654,0.9894821191612946,0.9987638631043027
logistic_regression,0.989451476793249,0.9888882883069942,0.989451476793249,0.9889374600009605,0.9963566705790594
dense_nn,0.0,0.0,0.0,0.0,0.0
wide_deep,0.0,0.0,0.0,0.0,0.0
deep_nn,0.0,0.0,0.0,0.0,0.0
